date,iso_a3,currency_code,usd_raw,dollar_ex,implied_exchange_rate
2000-04-01,IDN,IDR,-0.27289,7945,5776.892430278885
2001-04-01,IDN,IDR,-0.46684,10855,5787.40157480315
2002-04-01,IDN,IDR,-0.31859,9430,6425.70281124498
2003-04-01,IDN,IDR,-0.32026,8740,5940.959409594096
2004-05-01,IDN,IDR,-0.39126,9120,5551.724137931034
2005-06-01,IDN,IDR,-0.50013,9545,4771.241830065359
2006-01-01,IDN,IDR,-0.51005,9460,4634.920634920635
2006-05-01,IDN,IDR,-0.49494,9325,4709.677419354839
2007-01-01,IDN,IDR,-0.45678,9090,4937.888198757763
2007-06-01,IDN,IDR,-0.48278,9015,4662.756598240469
2008-06-01,IDN,IDR,-0.42766,9152,5238.0952380952385
2009-07-01,IDN,IDR,-0.42604,10200,5854.341736694678
2010-01-01,IDN,IDR,-0.37361,9320,5837.988826815642
2010-07-01,IDN,IDR,-0.32674,9063,6101.785714830517
2011-07-01,IDN,IDR,-0.34959,8523,5543.419434194341
2012-01-01,IDN,IDR,-0.41389,9160,5368.7917240459165
2012-07-01,IDN,IDR,-0.41027,9482.5,5592.143269786251
2013-01-01,IDN,IDR,-0.34505,9767.5,6397.176044564862
2013-07-01,IDN,IDR,-0.3847,9965,6131.455742053295
2014-01-01,IDN,IDR,-0.50231,12140,6041.9535047005265
2014-07-01,IDN,IDR,-0.49355,11505,5826.694473409802
2015-01-01,IDN,IDR,-0.53263,12480,5832.776617954071
2015-07-01,IDN,IDR,-0.52284,13344.5,6367.432150313152
2016-01-01,IDN,IDR,-0.55644,13947.5,6186.612576064909
2016-07-01,IDN,IDR,-0.53092,13112.5,6150.793650793651
2017-01-01,IDN,IDR,-0.54036,13329,6126.482213438736
2017-07-01,IDN,IDR,-0.54662,13369.5,6061.509433962265
2018-01-01,IDN,IDR,-0.49316,13359,6770.833333333333
2018-07-01,IDN,IDR,-0.60189,14360,5716.878402903812
2019-01-01,IDN,IDR,-0.58027,14090,5913.978494623656
2019-07-09,IDN,IDR,-0.60546,14130,5574.912891986062
2020-01-14,IDN,IDR,-0.57424,13670,5820.10582010582
2020-07-01,IDN,IDR,-0.5875,14435,5954.46584938704
